"gpa","sat_quan","sat_verb","hs_math","hs_engl"
1.97000002861023,3.21000003814697,2.47000002861023,2.29999995231628,2.63000011444092
2.74000000953674,7.17999982833862,4.3600001335144,3.79999995231628,3.5699999332428
2.19000005722046,3.57999992370605,5.78000020980835,2.98000001907349,2.5699999332428
2.59999990463257,4.03000020980835,4.46999979019165,3.57999992370605,2.21000003814697
2.98000001907349,6.40000009536743,5.63000011444092,3.38000011444092,3.48000001907349
1.64999997615814,2.36999988555908,3.42000007629395,1.48000001907349,2.14000010490417
1.88999998569489,2.70000004768372,4.71999979019165,1.66999995708466,2.64000010490417
2.38000011444092,4.17999982833862,3.55999994277954,3.73000001907349,2.51999998092651
2.66000008583069,4.42999982833862,3.26999998092651,3.08999991416931,3.20000004768372
1.96000003814697,3.58999991416931,3.84999990463257,1.53999996185303,3.46000003814697
3.14000010490417,6.69000005722046,6.6399998664856,3.21000003814697,3.36999988555908
1.96000003814697,4.09000015258789,5.17999982833862,2.76999998092651,2.59999990463257
2.20000004768372,5.82000017166138,3.64000010490417,1.47000002861023,2.90000009536743
3.90000009536743,7.5,6.32000017166138,3.14000010490417,3.49000000953674
2.01999998092651,4.51000022888184,4.34999990463257,1.53999996185303,3.20000004768372
3.60999989509583,6.44999980926514,7.03999996185303,3.5,3.74000000953674
3.0699999332428,7.90999984741211,3.41000008583069,3.20000004768372,2.9300000667572
2.63000011444092,5.21000003814697,4.82999992370605,3.58999991416931,3.3199999332428
3.10999989509583,5.94000005722046,6.65000009536743,3.42000007629395,2.70000004768372
3.20000004768372,6.53000020980835,6.05999994277954,3.69000005722046,3.51999998092651
